houseCode,houseRegion,houseName,houseAllPrice,houseType,houseSize,houseDirection,houseStatus,houseFloor,houseAddress,houseDistrict,houseElevator,Latitude,Longitude,type,use,houseYear,houseUnitPrice
1.03121E+11,花山区,东方明珠六村,155,3室1厅1厨1卫,110.06,南,简装,高楼层 (共18层),,江东,有,118.53318,31.719454,商品房,普通住宅,2022,14083
1.03121E+11,雨山区,映翠景苑,95,3室2厅1厨1卫,103.77,东南,毛坯,高楼层 (共18层),,安民,有,118.498473,31.663869,商品房,普通住宅,2022,9155
1.03121E+11,当涂县,豪邦君悦华庭,96.2,4室1厅1厨2卫,147.53,南 北,毛坯,中楼层 (共28层),,当涂县,暂无数据,118.4985571,31.58210649,商品房,普通住宅,2022,6521
1.0312E+11,花山区,绿地臻城一期,132,3室2厅1厨1卫,107.48,南 北,精装,中楼层 (共33层),,霍里,有,118.559507,31.695504,商品房,普通住宅,2022,12281
1.0312E+11,花山区,纺织新村,75,3室2厅1厨1卫,84.54,南,简装,中楼层 (共6层),,桃园,暂无数据,118.5198498,31.67397912,商品房,普通住宅,2022,8872
1.0312E+11,花山区,双岗新村,40,2室1厅1厨1卫,58.72,东南,简装,中楼层 (共7层),,安民,无,118.5097887,31.67748734,经济适用房,普通住宅,2022,6812
1.0312E+11,雨山区,汇翠名邸,135,3室2厅1厨1卫,119.01,南,简装,低楼层 (共18层),,雨山,有,118.506745,31.689232,商品房,普通住宅,2022,11344
1.03121E+11,雨山区,勤奋村,23,2室1厅1厨1卫,60,南 北,简装,高楼层 (共7层),,雨山,无,118.492484,31.685584,商品房,普通住宅,2022,3833
1.0312E+11,雨山区,华东・宁泽园,117,3室1厅1厨1卫,110.68,南,精装,低楼层 (共28层),,雨山,有,118.503768,31.689527,商品房,普通住宅,2022,10571
1.03121E+11,雨山区,中丞国宾府,198,4室2厅1厨2卫,133.72,南,毛坯,中楼层 (共8层),,佳山,有,118.520066,31.654377,商品房,普通住宅,2022,14807
1.03121E+11,雨山区,颐园世家,115,3室2厅1厨1卫,92.43,南,精装,中楼层 (共31层),,佳山,有,118.530991,31.668261,商品房,普通住宅,2022,12442
1.0312E+11,花山区,朝辉东方城三区,105,2室2厅1厨1卫,88.07,南,简装,低楼层 (共34层),,霍里,有,118.5419616,31.68063943,商品房,普通住宅,2022,11922
1.0312E+11,花山区,安粮秀山城市广场二期,126,3室2厅1厨1卫,105.87,南 北,毛坯,中楼层 (共32层),,霍里,有,118.5655793,31.69708109,商品房,普通住宅,2022,11901
1.0312E+11,花山区,东方城,79,2室2厅1厨2卫,63.16,南,精装,中楼层 (共20层),,霍里,有,118.541274,31.687375,商品房,普通住宅,2022,12508
1.0312E+11,雨山区,万嘉南苑二村,60,2室1厅1厨1卫,75.42,南 北,其他,中楼层 (共6层),,佳山,暂无数据,118.535792,31.667722,商品房,普通住宅,2022,7955
1.03121E+11,雨山区,颐园世家,102,2室1厅1厨1卫,88.16,南,精装,中楼层 (共31层),,佳山,有,118.530991,31.668261,商品房,普通住宅,2022,11570
1.0312E+11,花山区,紫竹园,49.9,2室1厅1厨1卫,58,南,精装,中楼层 (共6层),,解放路,无,118.518535,31.708357,商品房,普通住宅,2022,8603
1.03121E+11,雨山区,康泰佳苑,156,4室2厅1厨2卫,140.49,南,其他,低楼层 (共11层),,安民,有,118.507247,31.670611,商品房,普通住宅,2022,11104
1.0312E+11,花山区,绿地臻城一期,98,2室2厅1厨1卫,88.47,南 北,精装,高楼层 (共33层),,霍里,有,118.559507,31.695504,商品房,普通住宅,2022,11077
1.0312E+11,雨山区,春江雅苑,70,2室1厅1厨1卫,76.27,南,精装,中楼层 (共6层),,佳山,无,118.537824,31.668022,商品房,普通住宅,2022,9178
1.0312E+11,雨山区,深业华府春天里,160,3室2厅1厨2卫,111.62,东南,精装,中楼层 (共34层),,安民,有,118.5080011,31.66771432,商品房,普通住宅,2022,14334
1.03121E+11,花山区,梅花园,52,2室1厅1厨1卫,63.53,南 北,精装,中楼层 (共6层),,桃园,暂无数据,118.527532,31.683479,商品房,普通住宅,2022,8185
1.0312E+11,雨山区,凡尔赛公馆,99,2室2厅1厨1卫,83.96,南,精装,中楼层 (共11层),,佳山,暂无数据,118.517817,31.643486,商品房,普通住宅,2022,11791
1.0312E+11,当涂县,襄城明珠明珠雅苑,62,3室2厅1厨2卫,112.91,南 北,精装,高楼层 (共11层),,当涂县,暂无数据,118.4954851,31.57488731,商品房,普通住宅,2022,5491
1.0312E+11,花山区,江东小区,120,3室1厅1厨1卫,110.79,南,简装,低楼层 (共6层),,桃园,无,118.532364,31.679835,商品房,普通住宅,2022,10831
1.0312E+11,花山区,平山新村,67,2室1厅1厨1卫,59.8,南,简装,中楼层 (共6层),,桃园,无,118.518659,31.67468657,商品房,普通住宅,2022,11204
1.03118E+11,花山区,圳秀国际?金湖湾,125,3室2厅1厨1卫,108.2,东,精装,低楼层 (共28层),,霍里,有,118.56937,31.69924,商品房,普通住宅,2021,11553
1.03118E+11,雨山区,雨韵阁,135,5室2厅2厨2卫,116.72,南,毛坯,高楼层 (共18层),,佳山,有,118.540775,31.664852,商品房,普通住宅,2021,11566
1.03119E+11,雨山区,滨江郡,60,3室1厅1厨1卫,87.07,南,精装,中楼层 (共6层),,采石,无,118.487314,31.640316,商品房,普通住宅,2022,6891
1.03115E+11,花山区,康城花园,100,3室2厅1厨1卫,103.11,南,简装,中楼层 (共6层),,解放路,无,118.525098,31.711942,商品房,普通住宅,2021,9698
1.03119E+11,花山区,浅水湾花园,128,4室3厅1厨2卫,198.1,南 北,简装,高楼层 (共6层),,沙塘,无,118.505476,31.694653,商品房,普通住宅,2021,6461
1.0312E+11,花山区,宁芜村,27.5,3室2厅1厨1卫,113.49,南,精装,高楼层 (共6层),,塘西,暂无数据,118.511825,31.720227,商品房,普通住宅,2022,2423
1.0312E+11,雨山区,平南三村,15,2室1厅1厨1卫,58.61,南,简装,高楼层 (共4层),,佳山,暂无数据,118.597715,31.663035,动迁安置房,普通住宅,2022,2559
1.0312E+11,花山区,站东新村(花山路),30,1室1厅1厨1卫,48,南,其他,中楼层 (共4层),,塘西,无,118.515227,31.714073,商品房,普通住宅,2022,6250
1.0312E+11,花山区,金玉兰花园,48,5室1厅1厨2卫,220,南,其他,高楼层 (共6层),,塘西,无,118.513129,31.722769,商品房,普通住宅,2022,2182
1.0312E+11,花山区,绿洲花园二村,75,2室1厅1厨1卫,88.38,南,其他,低楼层 (共6层),,塘西,暂无数据,118.523353,31.719113,商品房,普通住宅,2022,8486
1.0312E+11,雨山区,钢城花园一村,93,2室2厅1厨1卫,93.97,南,简装,低楼层 (共6层),,安民,无,118.502386,31.67089,商品房,普通住宅,2022,9897
1.0312E+11,雨山区,春江雅苑,87,2室2厅1厨1卫,85.21,南,其他,低楼层 (共6层),,佳山,暂无数据,118.537824,31.668022,商品房,普通住宅,2022,10210
1.0312E+11,花山区,信达城,112,3室2厅1厨1卫,83.34,南,精装,高楼层 (共25层),,霍里,有,118.560247,31.702349,商品房,普通住宅,2022,13439
1.0312E+11,雨山区,御景园,94,3室2厅1厨1卫,108.44,南,精装,中楼层 (共11层),,佳山,有,118.5712499,31.67332002,商品房,普通住宅,2022,8668
1.0312E+11,花山区,微山花园,86,3室2厅1厨1卫,97.68,南 北,其他,中楼层 (共6层),,佳山,无,118.544974,31.672918,商品房,普通住宅,2022,8804
1.03121E+11,花山区,金安佳苑南区,46.5,2室1厅1厨1卫,65.34,南,精装,高楼层 (共6层),,塘西,暂无数据,118.518556,31.719152,动迁安置房,普通住宅,2022,7117
1.0312E+11,花山区,东城花园四村,58,2室2厅1厨1卫,74.95,南,其他,高楼层 (共6层),,霍里,暂无数据,118.545301,31.694657,商品房,普通住宅,2022,7738
1.03121E+11,花山区,圳秀国际?金湖湾,95,2室1厅1厨1卫,74.84,南,其他,高楼层 (共29层),,霍里,有,118.56937,31.69924,商品房,普通住宅,2022,12694
1.0312E+11,花山区,秀山信达城二期,115,3室2厅1厨1卫,89.8,南,精装,中楼层 (共32层),,霍里,有,118.559646,31.705409,商品房,普通住宅,2022,12806
1.0312E+11,花山区,瑞慈花园,165,3室2厅1厨2卫,129.13,南,其他,中楼层 (共10层),,桃园,暂无数据,118.520011,31.677467,商品房,普通住宅,2022,12778
1.0312E+11,花山区,生化新村,119.8,5室3厅1厨2卫,155.63,南 北,简装,高楼层 (共6层),,桃园,无,118.52647,31.676553,商品房,普通住宅,2022,7698
1.0312E+11,雨山区,钢城花园二村,103,2室2厅1厨1卫,100.96,南,简装,低楼层 (共6层),,安民,无,118.4966848,31.6705524,商品房,普通住宅,2022,10202
1.03119E+11,雨山区,深业华府春天里,140,3室2厅1厨1卫,112.76,南,其他,中楼层 (共34层),,安民,有,118.5080011,31.66771432,商品房,普通住宅,2022,12416
1.03118E+11,雨山区,万达中央华城,129.8,3室2厅1厨2卫,120.68,南,毛坯,低楼层 (共33层),,安民,有,118.513507,31.664911,商品房,普通住宅,2021,10756
1.0312E+11,雨山区,中丞国宾府,280,5室3厅1厨3卫,149.06,北 南,其他,高楼层 (共8层),,佳山,暂无数据,118.520066,31.654377,商品房,普通住宅,2022,18784
1.0312E+11,雨山区,滨江郡,54,3室1厅1厨1卫,87.88,南,其他,中楼层 (共11层),,采石,暂无数据,118.487314,31.640316,商品房,普通住宅,2022,6145
1.0312E+11,花山区,金瑞新城四村,69,3室2厅1厨1卫,101.45,南,其他,高楼层 (共6层),,江东,无,118.53001,31.731431,商品房,普通住宅,2022,6801
1.03121E+11,雨山区,立新村,20.8,2室1厅1厨1卫,48.17,南,其他,高楼层 (共6层),,雨山,无,118.4940745,31.68181591,商品房,普通住宅,2022,4318
1.03118E+11,雨山区,深业华府春天里,154,3室2厅1厨2卫,116.76,东 南,毛坯,高楼层 (共34层),,安民,有,118.5080011,31.66771432,商品房,普通住宅,2021,13189
1.03119E+11,雨山区,中丞国宾府,202,3室2厅1厨2卫,126.02,南 北,毛坯,低楼层 (共8层),,佳山,有,118.520066,31.654377,商品房,普通住宅,2022,16029
1.03118E+11,当涂县,碧桂园首府,132,4室1厅1厨2卫,136.97,南,精装,低楼层 (共18层),,当涂县,暂无数据,118.5187111,31.57163935,商品房,普通住宅,2021,9637
1.0312E+11,当涂县,奥克斯姑溪文华,68.5,3室2厅1厨2卫,106,南,毛坯,高楼层 (共24层),,当涂县,暂无数据,118.4993971,31.59232663,商品房,普通住宅,2022,6462
1.03114E+11,花山区,国际华城一村,143.8,5室2厅2厨0卫,200,南,精装,高楼层 (共6层),,霍里,无,118.538557,31.691135,商品房,普通住宅,2021,7190
1.03119E+11,当涂县,豪邦君悦华庭,67.6,3室2厅1厨1卫,100.13,南,毛坯,高楼层 (共32层),,当涂县,暂无数据,118.4985571,31.58210649,商品房,普通住宅,2022,6751
1.03115E+11,花山区,新里・维多利亚公馆,133,3室2厅1厨1卫,114.12,南,毛坯,中楼层 (共30层),,霍里,有,118.559282,31.691073,商品房,普通住宅,2021,11654
1.03119E+11,花山区,瑞慈花园南区,121.6,2室2厅1厨1卫,91.65,南,精装,中楼层 (共6层),,桃园,无,118.519762,31.676139,商品房,普通住宅,2022,13268
1.03117E+11,花山区,恒生秀山郡,121,4室2厅1厨1卫,117.54,南,毛坯,高楼层 (共33层),,霍里,有,118.563463,31.705712,商品房,普通住宅,2021,10294
1.03119E+11,花山区,圳秀国际?金湖湾,118,3室2厅1厨1卫,100.72,南,精装,高楼层 (共29层),,霍里,有,118.56937,31.69924,商品房,普通住宅,2022,11716
1.03119E+11,花山区,绿地臻城一期,132,3室2厅1厨1卫,111.41,南 北,其他,中楼层 (共33层),,霍里,有,118.559507,31.695504,商品房,普通住宅,2022,11848
1.03115E+11,花山区,安粮城市广场三期,124,3室2厅1厨1卫,111.89,南,毛坯,中楼层 (共29层),,霍里,有,118.5625712,31.69714425,商品房,普通住宅,2021,11082
1.03119E+11,花山区,珍珠园二村,94,2室1厅1厨1卫,75.98,南,精装,中楼层 (共7层),,雨山,暂无数据,118.5135777,31.68168498,商品房,普通住宅,2021,12372
1.0312E+11,当涂县,家天下,27,2室2厅1厨1卫,95.19,南 北,毛坯,中楼层 (共6层),,当涂县,无,118.4853383,31.56511381,商品房,普通住宅,2022,2836
1.03119E+11,花山区,新里西斯莱公馆,149,3室2厅1厨1卫,121.43,南,毛坯,中楼层 (共30层),,霍里,无,118.556072,31.693061,商品房,普通住宅,2022,12270
1.03118E+11,花山区,碧桂嘉苑,120,3室2厅1厨2卫,110.97,南,精装,低楼层 (共6层),,解放路,无,118.5194124,31.69174034,商品房,普通住宅,2021,10814
1.03119E+11,花山区,秀山湖壹,116,3室2厅1厨1卫,106.35,南 北,毛坯,高楼层 (共18层),,霍里,有,118.568871,31.702477,商品房,普通住宅,2021,10907
1.03119E+11,花山区,安粮秀山城市广场二期,114,3室2厅1厨1卫,109.26,南,毛坯,高楼层 (共32层),,霍里,有,118.5655793,31.69708109,商品房,普通住宅,2022,10434
1.03119E+11,花山区,梅花园,80.8,3室1厅1厨1卫,81.67,南,精装,中楼层 (共6层),,桃园,暂无数据,118.527532,31.683479,商品房,普通住宅,2022,9893
1.0312E+11,雨山区,阳湖花园,64,2室1厅1厨1卫,77.5,南 北,精装,中楼层 (共6层),,佳山,暂无数据,118.533983,31.66207,商品房,普通住宅,2022,8258
1.03118E+11,当涂县,碧桂园滨江世家,65.5,3室2厅1厨1卫,91.83,南,精装,中楼层 (共6层),,当涂县,暂无数据,118.499215,31.587395,商品房,普通住宅,2021,7133
1.03116E+11,花山区,金世纪花园,28.8,2室1厅1厨1卫,75.79,南,精装,中楼层 (共6层),,解放路,无,118.497794,31.723972,商品房,普通住宅,2021,3800
1.0312E+11,花山区,上湖家园,62.5,2室1厅1厨1卫,88.03,南,其他,高楼层 (共18层),,霍里,有,118.552993,31.712738,商品房,普通住宅,2022,7100
1.0312E+11,花山区,农机新村,78,2室1厅1厨1卫,59.42,南 北,其他,低楼层 (共6层),,桃园,无,118.5215647,31.67812665,商品房,普通住宅,2022,13127
1.0312E+11,雨山区,安民村,52.9,2室1厅1厨1卫,51.69,南,精装,低楼层 (共1层),,雨山,暂无数据,118.495852,31.681946,商品房,普通住宅,2022,10234
1.03118E+11,花山区,汇成上东,122,2室1厅1厨1卫,89.15,南,精装,低楼层 (共18层),,解放路,有,118.533196,31.70379,商品房,普通住宅,2021,13685
1.03119E+11,花山区,金汇城市花园,145,3室2厅1厨1卫,102.61,南,简装,低楼层 (共6层),,桃园,无,118.535176,31.677905,商品房,普通住宅,2022,14131
1.0312E+11,雨山区,雨东村,52,3室1厅1厨1卫,78.59,南,简装,中楼层 (共5层),,雨山,无,118.5031185,31.68174732,商品房,普通住宅,2022,6617
1.03115E+11,花山区,朝辉东方城二区,193,4室2厅1厨2卫,145.44,南,精装,中楼层 (共33层),,霍里,有,118.54128,31.685145,商品房,普通住宅,2021,13270
1.03118E+11,雨山区,东湖碧水湾,100,2室2厅1厨1卫,94.43,南,精装,中楼层 (共11层),,佳山,有,118.527612,31.667,商品房,普通住宅,2021,10590
1.03119E+11,雨山区,福达人才公寓,50.8,3室1厅1厨1卫,97.04,南,精装,低楼层 (共6层),,采石,暂无数据,118.4925,31.641524,商品房,普通住宅,2022,5235
1.03118E+11,花山区,东南名苑,245,4室1厅1厨1卫,163.36,南,精装,低楼层 (共6层),,桃园,无,118.53553,31.675728,商品房,普通住宅,2021,14998
1.03116E+11,花山区,春晖家园东区,119.8,3室2厅1厨1卫,88.95,南 北,精装,中楼层 (共6层),,佳山,暂无数据,118.536596,31.67234,商品房,普通住宅,2021,13468
